Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
0,0,0,0,2020-01-22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-24,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-26,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-27,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-28,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-29,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-30,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-31,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-02-01,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-02-02,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-02-03,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1,0,0,1,2020-02-04,1,0.1,0.1,0,0.0,0.0,0,0.0,0.0,1,0.1,0.1
1,0,0,1,2020-02-05,0,0.1,0.09,0,0.0,0.0,0,0.0,0.0,0,0.1,0.09
1,0,0,1,2020-02-06,0,0.1,0.08,0,0.0,0.0,0,0.0,0.0,0,0.1,0.08
1,0,0,1,2020-02-07,0,0.1,0.07,0,0.0,0.0,0,0.0,0.0,0,0.1,0.07
1,0,0,1,2020-02-08,0,0.1,0.07,0,0.0,0.0,0,0.0,0.0,0,0.1,0.07
1,0,0,1,2020-02-09,0,0.1,0.06,0,0.0,0.0,0,0.0,0.0,0,0.1,0.06
1,0,0,1,2020-02-10,0,0.1,0.05,0,0.0,0.0,0,0.0,0.0,0,0.1,0.05
1,0,0,1,2020-02-11,0,0.0,0.05,0,0.0,0.0,0,0.0,0.0,0,0.0,0.05
1,0,0,1,2020-02-12,0,0.0,0.04,0,0.0,0.0,0,0.0,0.0,0,0.0,0.04
1,0,0,1,2020-02-13,0,0.0,0.04,0,0.0,0.0,0,0.0,0.0,0,0.0,0.04
1,0,0,1,2020-02-14,0,0.0,0.03,0,0.0,0.0,0,0.0,0.0,0,0.0,0.03
1,0,0,1,2020-02-15,0,0.0,0.03,0,0.0,0.0,0,0.0,0.0,0,0.0,0.03
1,0,0,1,2020-02-16,0,0.0,0.03,0,0.0,0.0,0,0.0,0.0,0,0.0,0.03
1,0,1,0,2020-02-17,0,0.0,0.03,0,0.0,0.0,1,0.1,0.1,0,0.0,0.03
1,0,1,0,2020-02-18,0,0.0,0.02,0,0.0,0.0,0,0.1,0.09,0,0.0,0.02
1,0,1,0,2020-02-19,0,0.0,0.02,0,0.0,0.0,0,0.1,0.08,0,0.0,0.02
1,0,1,0,2020-02-20,0,0.0,0.02,0,0.0,0.0,0,0.1,0.07,0,0.0,0.02
1,0,1,0,2020-02-21,0,0.0,0.02,0,0.0,0.0,0,0.1,0.07,0,0.0,0.02
1,0,1,0,2020-02-22,0,0.0,0.02,0,0.0,0.0,0,0.1,0.06,0,0.0,0.02
1,0,1,0,2020-02-23,0,0.0,0.01,0,0.0,0.0,0,0.1,0.05,0,0.0,0.01
1,0,1,0,2020-02-24,0,0.0,0.01,0,0.0,0.0,0,0.0,0.05,0,0.0,0.01
1,0,1,0,2020-02-25,0,0.0,0.01,0,0.0,0.0,0,0.0,0.04,0,0.0,0.01
1,0,1,0,2020-02-26,0,0.0,0.01,0,0.0,0.0,0,0.0,0.04,0,0.0,0.01
