Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
0,0,0,0,2020-01-22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-24,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-26,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-27,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-28,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-29,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1,0,0,1,2020-01-30,1,0.1,0.1,0,0.0,0.0,0,0.0,0.0,1,0.1,0.1
1,0,0,1,2020-01-31,0,0.1,0.09,0,0.0,0.0,0,0.0,0.0,0,0.1,0.09
1,0,0,1,2020-02-01,0,0.1,0.08,0,0.0,0.0,0,0.0,0.0,0,0.1,0.08
2,1,0,1,2020-02-02,1,0.3,0.17,1,0.1,0.1,0,0.0,0.0,0,0.1,0.07
2,1,0,1,2020-02-03,0,0.3,0.16,0,0.1,0.09,0,0.0,0.0,0,0.1,0.07
2,1,0,1,2020-02-04,0,0.3,0.14,0,0.1,0.08,0,0.0,0.0,0,0.1,0.06
2,1,0,1,2020-02-05,0,0.3,0.13,0,0.1,0.07,0,0.0,0.0,0,0.1,0.05
2,1,0,1,2020-02-06,0,0.1,0.11,0,0.1,0.07,0,0.0,0.0,0,0.0,0.05
3,1,0,2,2020-02-07,1,0.3,0.2,0,0.1,0.06,0,0.0,0.0,1,0.1,0.14
3,1,0,2,2020-02-08,0,0.3,0.18,0,0.1,0.05,0,0.0,0.0,0,0.1,0.13
3,1,0,2,2020-02-09,0,0.1,0.16,0,0.0,0.05,0,0.0,0.0,0,0.1,0.12
